PRODUCT_KEY,PRODUCT_NUMBER,EDP_CODE,DESCRIPTION,SUBTYPE_CODE,SUBTYPE_DESC,TYPE_CODE,TYPE_DESC,LINE_CODE,LINE_DESC,ACTIVE_FLAG,EFF_FM_DT,EFF_TO_DT
439,1021036,4C3562,BELT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
440,1021047,4C3471,HOLDER - FRICTION RING,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
441,1021063,4C4818,PULLEY 1,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
442,1021064,4C3509,SENSOR - TRIMMER PAPER STO,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
443,1021066,4C3510,SENSOR - GAP, FLIPPING WHE,120,4006,NON RICOH,4111501,PART,Y,29-05-2019,31-12-9999
444,1021070,4C3514,CHAIN,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
445,1021081,4C3538,BELT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
446,1021084,4C3543,BELT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
447,1021117,4C3590,SPRING,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
448,1021135,4C3650,DRIVER - PLASTIC, PAPER ST,120,4006,NON RICOH,4111501,PART,Y,29-05-2019,31-12-9999
449,1021865,4A31257000,CARTRIDGE, STAPLER,120,4006,NON RICOH,4111501,PART,Y,29-05-2019,31-12-9999
450,1022035,4B398901,RELAY - SOLID-STATE, 10A,120,4006,NON RICOH,4111501,PART,Y,29-05-2019,31-12-9999
451,1022044,4C0033,PCB AY - SENSOR, FAIL-TO-D,120,4006,NON RICOH,4111501,PART,Y,29-05-2019,31-12-9999
452,1022054,4C0353,COUPLER - BOTTLE,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
453,1022117,41303612000,BL-1600,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
