ITEM_ID,EDP_CODE,DESCRIPTION,PROD_SUB_TYPE_CODE,PROD_TYPE_CODE,PROD_LINE_CODE,PROD_SUB_TYPE_DESC,PROD_TYPE_DESC,PROD_LINE_DESC
1287108,414883,MPC3300 DIGITAL COPIER RICOH WIRED,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287109,414881M,ATO MODEL 414881M,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287110,414878,MPC2800 DIGITAL COPIER NRG WIRED,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287111,414898,MPC5000AD DIGITAL COPIER RICO WIRED,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287112,414899,MPC5000AD DIGITAL COPIER NRG WIRED,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287113,414890,MPC4000 DIGITAL COPIER NRG WIRED,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287114,414895,MPC5000 DIGITAL COPIER RICOH WIRED,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287115,414895M,ATO MODEL 414895M,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287116,414896,MPC5000 DIGITAL COPIER NRG WIRED,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287117,414886M,ATO MODEL 414886M,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287118,414883M,ATO model 414883M (Ricoh MPC3300),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287119,414880M,ATO model 414880M (Ricoh MPC2800AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287120,414881,MPC2800AD DIGITAL COPIER NRG WIRED,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287121,402981M-1241205,ATO model 402981M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1287122,414582M-1241244,ATO model 414582M (MP8000),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287123,414892,MPC4000AD DIGITAL COPIER RICO WIRED,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287124,413175M-1241405,ATO model 413175M (NRG MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287125,206232M,ATO MODEL 206232M NRG WIDE FORMAT COPIER,OTHER,4111101,110,OTHER MACHINE,MACHINE,ANALOGUE COPIER
1287126,400529M,ATO MODEL 400529M,PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1287127,414878M,ATO MODEL 414878M,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287128,412965M-1241648,ATO model 412965M (MP1350),BW_05,4111101,120,B&W COPIER 90+ CPM,MACHINE,B/W MFP
1287129,400673M-1241666,IS330,OTHER,4111101,610,OTHER MACHINE,MACHINE,SCANNER
1287130,414899M,ATO MODEL 414899M,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287131,413179M-1241701,ATO model 413179M (NRG MPC3000AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287132,414893,MPC4000AD DIGITAL COPIER NRG WIRED,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287133,413174M-1241794,ATO model 413174M (Ricoh MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287134,413590M-1241796,ATO model  413590M (MP2000SP),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1287135,413178M-1241822,ATO model 413178M (Ricoh MPC3000AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287136,414889M,ATO MODEL 414889M,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287137,414451M-1242094,ATO model  414451M (MP2550BAD),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1287138,414896M,ATO MODEL 414896M,CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287139,402802M-1244625,SP4100,PB_04,4111101,210,PAGE PRINTER B&W CUT-SHEET 30-39 PPM,MACHINE,B/W PRINTER
1287140,405528M-1244679,ATO model 405528M (GX 5050n),GE_01,4111101,310,GEL SINGLE FUNCYTION,MACHINE,GELJET PRINTER
1287141,414453M-1244825,ATO model  414453M (MP2550BADR),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1287142,402806M-1244951,SP4110,PB_04,4111101,210,PAGE PRINTER B&W CUT-SHEET 30-39 PPM,MACHINE,B/W PRINTER
1287143,413584M-1244965,ATO model  413584M (MP2000),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1287144,414886,MPC3300AD DIGITAL COPIER RICO WIRED,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287145,414887M,ATO MODEL 414887M,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287146,413664M-1245145,ATO model 413664M (MP161SPF),BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
1287147,414479M-1245354,ATO model  414479M (MP3350CSP),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1287148,414479M-1245845,ATO model  414479M (MP3350CSP),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1287149,414582M-1245849,ATO model 414582M (MP8000),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287150,413174M-1248283,ATO model 413174M (Ricoh MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287151,413175M-1248293,ATO model 413175M (NRG MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287152,414502M-1248645,ATO model 414502M (RICOH MP4000BAD),BW_03,4111101,120,B&W COPIER 40-59 CPM,MACHINE,B/W MFP
